PlantID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
p-1-1,-15.39632558159522,3.93835723510684,34.47216794089877,-25.970007475471114,-1.4673674354021087,-1.01715749479405,-20.503160146212206,-3.8506462179696097,-9.286027023964422,-2.235098315786517
p-10-1,22.794479108023918,27.287370163293755,11.747531794241928,49.56287102997054,11.843158683382223,-23.37168372260005,-14.63668537920197,-5.47693218107196,12.85276223661143,11.16265846255776
p-1000-1,-3.491354077995062,-10.290199605181886,-9.167441781560218,-2.4737840462933973,-7.090257422109945,-2.5149689942238282,-1.7375644625947522,-4.765659919915652,-6.289493018911735,-2.2184741021881162
p-1001-1,-9.373909158268859,-5.84099143115695,-8.242939702523769,-1.4103278887425592,-3.996757120552622,-5.858127213574303,-2.6353312351557663,-0.6824963082788952,-9.713198568613189,1.8915752442022038
p-1003-1,-13.027624018915311,-3.7501960914680246,-8.8598231852698,3.4630994461179054,-0.5770504318774705,13.742253913990831,-3.0844406645891285,6.207876938152837,-6.642682784065854,-1.4227750680949254
p-1004-2,-2.1212742895802643,12.180972042179,2.898611312983327,26.629624512941206,3.2534731773253016,-30.99828241376136,-10.330877583558992,2.4025737559373495,34.97050960174912,-2.5017625107652357
p-1007-2,24.639713215746987,-22.443144114651407,-7.3430047207718845,-13.721414608537854,-18.692367340515304,-0.818081414975331,3.506254557587298,-5.576869019086066,1.6050903342326028,6.662561006986516
p-1008-1,2.0947388334335364,28.81108692207579,-25.135936516030693,-20.90122177538385,-28.708878644410234,-2.251803729923544,-1.9740342504315593,0.9367352193897757,1.765380176654006,4.853699376371054
p-1009-1,6.384892990228381,18.336335479286774,6.810364010954467,40.239791766607006,5.350473339067637,-25.260993993718834,-9.261752364836013,-7.5924574669050875,27.44696081195893,-7.668448170425429
p-101-1,-15.568484482581505,6.081837462758391,43.25680348043276,-32.14820264284129,-1.0282614469802083,-3.5412611121985704,-22.606424480676083,-0.6773141710467159,-5.128575744132006,-1.6647716011124218
p-1010-1,-7.3781700753336485,-8.39150438338542,-7.730502380990831,0.1729896601951078,-4.695487452134441,-4.520689357038493,-2.0058301586210745,-2.679233956321444,-10.874334292354888,-2.5293908536863974
p-1011-1,-10.998041035123638,-3.7649346765374045,-10.70655984870137,0.5345320286247714,3.390969978784837,5.771820223008505,-3.208142207243159,1.0910543550910075,-10.441536041746865,2.765666435277729
p-1012-1,-11.422864683629145,-5.730236869853043,-9.136307358398792,0.9675874877765008,-3.2852714500571776,-5.054002486452969,-3.4155715692214477,-3.2029255680340833,-8.78916592572691,-2.304216325836078
p-1013-1,-16.68016766035323,-1.9202918518880172,5.737597331502169,2.3971021562561345,-7.628834728522848,0.3165377792937566,15.8684033373448,1.9946483207398555,-10.185805881075723,2.9677202901800404
p-1014-1,-28.141836190814303,12.902814331040926,65.49860551384735,-9.419622247359289,-13.607812966573988,8.085845648545254,38.638868726442645,5.905205458303012,0.6695862481751323,8.206622472681122
p-1018-2,-6.129446018043192,-4.878481663449117,-7.937571578024656,7.8189519309134115,7.146662968028753,11.184082450378085,-16.052460041781092,1.8704966827211775,1.2539934084508357,36.33655681212904
p-1019-1,-6.125235121257383,4.624448018651657,-10.175109680113733,-6.407640989392298,-9.844227245159688,-0.5641118243668699,-10.137721639096862,-6.400199051262817,-9.430592295755947,4.531594910631875
p-102-2,-9.592151959442372,17.725409529741228,42.43881362500868,-40.88532815989818,-10.565001269906354,-1.3027030809457647,-22.187008625748415,1.546544589936205,-2.6758325324614343,-2.9874853195601214
p-1020-1,-9.0043064005182,16.859466342169107,44.38377953482661,-35.05571892802398,-4.595257880450377,5.307103537000036,-27.879708199847695,0.10176630636820687,-0.6281347792567283,23.299414159244808
p-1021-1,-6.076042125081057,-3.1792429745680453,-6.238888013901821,4.6546509383416685,-3.3416599596960164,-6.1011504427111465,-3.3926444678027687,-2.2417894138024996,-11.101861884431656,-2.625238030619812
p-1022-1,-8.237768475792732,-4.917048966593162,-7.336964140666431,4.123940784355335,-0.08141284542989333,-1.0028865186682383,-8.651300126520976,2.1520485619149294,-11.794824356330011,-2.7185540639174253
p-1023-1,7.6101592288232265,29.867039467174887,-19.80270522014498,-22.61508248681691,-32.40808093260465,0.6836962285221828,2.445480227559205,4.012642094667519,-0.5918169948142564,-0.6579088752328159
p-1024-2,6.072356026499829,29.674346437642704,-22.941076080984118,-20.600971185667362,-29.00100654174979,0.06171828868298205,3.255516799826909,2.4649956138761375,1.319104790543941,-0.1615002002371065
p-1025-1,2.200556378122351,22.815304870879558,-16.71554654268478,-15.449564450545221,-22.54165502338399,-10.082457800526251,1.3342403767018776,9.974959027491368,4.7680268853023335,4.9924073448142074
p-1026-2,44.91557039935909,-47.491121240693126,4.388106660700895,-15.238913548312777,-12.07397182828211,3.677552408330121,8.40960213465534,-5.312575799475946,4.431258110656823,11.183534314541449
p-1028-1,-5.5726791782719145,4.516606866862922,-9.066032549455272,-9.050926718719108,12.689820562897335,-4.634624564884583,1.8967249351509976,-6.926184955648692,-14.95753329394502,-0.7674762123950815
p-1029-2,19.369246829756253,-11.114472409155058,2.655947835612402,7.564022576278916,-6.674172282765817,-2.028312530228379,3.231592275849034,-1.2293443776872435,-7.241977674001508,1.84801491362699
p-103-2,6.006467068252268,10.59469447461465,-18.609745066927065,-26.69649608077336,53.43801985537554,-5.278383419626155,24.491497563187725,-17.109575835753798,-8.845165664155921,-6.978117828550078
p-1030-1,8.919622043330207,4.230369583221994,-7.950995387839528,-20.2303046187969,13.68080529215914,-47.076081883180755,13.316735072055035,112.2775330747608,1.8116436520632004,-8.034121489185285
p-1031-1,-13.390006472382607,-4.656708386696592,-8.880625458233654,1.4823993346559137,-2.7715379439793173,-8.260869894270591,-3.4194234490214317,-2.2453618681257255,-3.521164763175667,-0.8094929554529964
p-1032-1,3.358664392557322,8.855985713411455,-14.61034896970651,-12.000639205204322,50.81339496074542,-3.4088301038274675,11.513273777243006,-9.125134949370194,9.530804769268755,32.06384428795179
